datetime,pair,Close,RSI,SMA,decision
2025-06-21 10:40:38,BTC/EUR,89962.00000000,61.15,89949.68,sell
2025-06-21 10:40:39,ETH/EUR,2107.63000000,54.72,2108.32,sell
2025-06-21 10:40:39,ADA/EUR,0.50520000,44.44,0.51,sell
2025-06-21 10:41:39,BTC/EUR,89977.50000000,69.49,89952.69,sell
2025-06-21 10:41:39,ETH/EUR,2108.26000000,53.35,2108.30,sell
2025-06-21 10:41:40,ADA/EUR,0.50530000,44.83,0.51,sell
2025-06-21 10:42:40,BTC/EUR,89982.00000000,71.08,89955.72,sell
2025-06-21 10:42:40,ETH/EUR,2109.14000000,58.27,2108.48,sell
2025-06-21 10:42:40,ADA/EUR,0.50650000,60.98,0.51,sell
2025-06-21 10:43:41,BTC/EUR,89988.08000000,72.99,89959.06,sell
2025-06-21 10:43:41,ETH/EUR,2109.24000000,58.98,2108.60,sell
2025-06-21 10:43:41,ADA/EUR,0.50650000,60.98,0.51,sell
2025-06-21 10:44:41,BTC/EUR,90002.37000000,76.12,89962.31,sell
2025-06-21 10:44:42,ETH/EUR,2109.91000000,61.19,2108.78,sell
2025-06-21 10:44:42,ADA/EUR,0.50660000,61.90,0.51,sell
2025-06-21 10:45:42,BTC/EUR,90013.49000000,85.92,89965.65,sell
2025-06-21 10:45:42,ETH/EUR,2110.12000000,61.58,2108.95,sell
2025-06-21 10:45:42,ADA/EUR,0.50620000,57.78,0.51,sell
