datetime,pair,Close,RSI,SMA,decision,motivo
2025-06-20 12:21:22,BTC/EUR,91874.28000000,55.38,91885.66,hold,❌ RSI 55.38<30 • ❌ RSI 55.38>70 • ❌ Precio 91 874.28>SMA 91 885.66 • ✅ Precio 91 874.28<SMA 91 885.66 → Esperar
2025-06-20 12:21:22,ETH/EUR,2210.79000000,48.28,2212.01,hold,❌ RSI 48.28<30 • ❌ RSI 48.28>70 • ❌ Precio 2 210.79>SMA 2 212.01 • ✅ Precio 2 210.79<SMA 2 212.01 → Esperar
2025-06-20 12:21:22,ADA/EUR,0.52100000,62.50,0.52,hold,❌ RSI 62.50<30 • ❌ RSI 62.50>70 • ✅ Precio 0.52>SMA 0.52 • ❌ Precio 0.52<SMA 0.52 → Esperar
2025-06-20 12:22:22,BTC/EUR,91914.75000000,58.84,91882.51,hold,❌ RSI 58.84<30 • ❌ RSI 58.84>70 • ✅ Precio 91 914.75>SMA 91 882.51 • ❌ Precio 91 914.75<SMA 91 882.51 → Esperar
2025-06-20 12:22:23,ETH/EUR,2211.22000000,50.64,2211.69,hold,❌ RSI 50.64<30 • ❌ RSI 50.64>70 • ❌ Precio 2 211.22>SMA 2 211.69 • ✅ Precio 2 211.22<SMA 2 211.69 → Esperar
2025-06-20 12:22:23,ADA/EUR,0.52150000,67.65,0.52,hold,❌ RSI 67.65<30 • ❌ RSI 67.65>70 • ✅ Precio 0.52>SMA 0.52 • ❌ Precio 0.52<SMA 0.52 → Esperar
2025-06-20 12:23:23,BTC/EUR,91989.23000000,65.31,91888.47,hold,❌ RSI 65.31<30 • ❌ RSI 65.31>70 • ✅ Precio 91 989.23>SMA 91 888.47 • ❌ Precio 91 989.23<SMA 91 888.47 → Esperar
2025-06-20 12:23:23,ETH/EUR,2213.42000000,62.90,2211.72,hold,❌ RSI 62.90<30 • ❌ RSI 62.90>70 • ✅ Precio 2 213.42>SMA 2 211.72 • ❌ Precio 2 213.42<SMA 2 211.72 → Esperar
2025-06-20 12:23:24,ADA/EUR,0.52200000,71.79,0.52,hold,❌ RSI 71.79<30 • ✅ RSI 71.79>70 • ✅ Precio 0.52>SMA 0.52 • ❌ Precio 0.52<SMA 0.52 → Esperar
2025-06-20 12:34:53,BTC/EUR,92036.80000000,73.89,91962.36,hold,❌ RSI 73.89<30 • ✅ RSI 73.89>70 • ✅ Precio 92 036.80>SMA 91 962.36 • ❌ Precio 92 036.80<SMA 91 962.36 → Esperar
